Age,Gender,Blink_Rate,Eye_Closure_Duration,Yawning_Count,Heart_Rate,Head_Tilt_Angle,Steering_Variation,Reaction_Time,Sleep_Hours_Last_Night,Drowsy
56,M,39,37.40020716991196,5,108.0,5.761394173607845,0.459844552024645,1.6144261309544614,4.159627537334969,0
46,Male,19,55.33565412835116,0,94.0,2.459185417454743,0.860034306977531,0.3196469303358636,2.725564175707098,1
32,F,27,54.40499654709044,2,100.0,16.059242443790296,1.4217398326887447,0.5159348540711426,7.7455198152364355,0
60,F,23,58.40412318322788,5,87.0,3.571357890038576,1.3063254306130911,,4.5511418928545915,0
25,Female,19,41.708540330384416,2,85.0,20.95760039071809,0.8128282052353041,1.22230547120449,4.277256777564883,1
38,Female,16,58.45527715691265,3,65.0,24.0184335673861,0.1242175637026935,,2.1273525892730727,0
56,Male,39,50.786290001754985,2,93.0,3.394729456072809,0.19575846454162937,0.7788062663565662,7.081111560965827,1
36,Female,35,19.895767718697762,3,87.0,9.401323780196666,1.3044912699615216,1.0798385374172157,3.918477577281113,0
40,M,16,28.50896182532134,6,103.0,23.43180263673173,0.49708203722804467,1.5708373896028585,5.051105969973194,0
28,M,16,18.111584320395536,4,106.0,11.767614554497532,0.5453265847853375,,8.29856682877408,0
28,Female,14,5.230843845681086,3,68.0,13.385401409153383,0.2956884386555103,1.953571731662649,2.877147252338986,1
41,M,10,15.342681423079974,7,88.0,18.68789997409571,0.4123587815400074,1.7318459750212585,2.2662735508489384,1
53,M,23,5.2233322457781615,1,,5.2633352727190745,0.4460634359204231,0.3214697291866585,5.923557040526904,0
57,Male,27,44.59111537427695,7,71.0,24.478726768715184,0.6769308513822435,0.8180422744432587,6.898975369137745,0
41,M,22,28.404386374665975,5,75.0,19.522088275192093,0.9724037160718888,1.5480012976186186,5.697193086784618,0
20,F,34,22.191609989282206,7,66.0,4.0343342452205775,0.5944185171855486,0.9523158180052742,4.3770431831437495,0
39,F,17,46.894649010235334,7,90.0,2.7767394292192966,0.7298085737318132,0.9854676173064549,4.530014445485845,0
19,Male,17,50.786772604080475,7,92.0,23.373855674692134,0.3546601357120006,1.6297645785603616,3.047536476718003,0
41,Female,19,58.6414746257434,3,66.0,17.12569499692206,0.17894558980962122,1.70015397558748,4.182008975953941,1
61,Male,26,40.310747157138266,5,62.0,0.9641826530779496,0.5875365274212332,1.6245349799870918,7.312201017499229,1
47,Female,15,30.384092719702846,4,79.0,3.5496805130860203,0.18748804927291293,0.8383242834819782,5.493987420272345,0
55,Female,24,21.789536588408975,6,64.0,1.1957311306463185,0.5196081929378548,,8.235303404323828,0
19,Female,24,,7,62.0,24.352042660473273,1.2726383037896987,0.8457368417529121,3.176010888002706,0
38,Female,34,16.710927276543067,3,106.0,12.44627248047524,0.6137031804828407,1.4624903594855578,5.096958433842351,0
50,Female,25,27.505415609588933,4,97.0,11.553710966547603,0.3705664717839441,0.8564862628363679,6.91125571664912,0
29,Male,17,59.54824954083614,1,74.0,23.894469154471402,1.3628945607892653,0.29968818610360276,3.906013990894515,0
